# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug  5 10:28:29 2025
#
# User preference: *
#
# CONSTRAINT:  where (disc_facility like '%TESS%'
# CONSTRAINT:  and st_teffstr < 4200
# CONSTRAINT:  and st_radstr in [0.1, 0.65])
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN tic_id:         TIC ID
# COLUMN gaia_id:        GAIA ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
LP 890-9 b,LP 890-9,TIC 44898913,Gaia DR2 4886243456388510720,0,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,2.72990488544,0.00001196191,-0.00001196191,0,,,,,1.35136063,0.77290535,-0.77290535,0,0.12056053,0.06895412,-0.06895412,0,,,,,,,,,,,,,,4.0670,,,0,362.19,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,2887.00,157.00,-157.00,0,0.155498,0.004687,-0.004687,0,,,,,,,,,,5.159170,0.042782,-0.042782,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h16m31.42s,64.1309096,-28d18m56.85s,-28.3157909,32.42980000,0.07020000,-0.06990000,18.0000000,0.2000000,-0.2000000,11.3440000,0.0230000,-0.0230000,15.8213000,0.0007630,-0.0007630,2023-03-16,2017-07,2023-03-16
LP 890-9 b,LP 890-9,TIC 44898913,Gaia DR2 4886243456388510720,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,2.72990250000,0.00000340000,-0.00000400000,0,0.0187500000,0.0001000000,-0.0001000000,0,1.32000000,0.05300000,-0.02700000,0,0.11776272,0.00472835,-0.00240878,0,13.20000000,,,1,0.04153184,,,1,Mass,,,,,4.0900,0.1200,-0.1200,0,396.00,3.00,-3.00,0,0,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,M6 V,2850.00,75.00,-75.00,0,0.155600,0.008600,-0.008600,0,0.118000,0.002000,-0.002000,0,-0.0280,0.0890,-0.0890,0,[Fe/H],5.126000,0.050000,-0.047000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h16m31.42s,64.1309096,-28d18m56.85s,-28.3157909,32.42980000,0.07020000,-0.06990000,18.0000000,0.2000000,-0.2000000,11.3440000,0.0230000,-0.0230000,15.8213000,0.0007630,-0.0007630,2022-09-14,2022-09,2022-09-14
LP 791-18 b,LP 791-18,TIC 181804752,Gaia DR2 3562427951852172288,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,0.94800500000,0.00000580000,-0.00000580000,0,0.0096900000,0.0003200000,-0.0003500000,0,1.12000000,0.13000000,-0.13000000,0,0.09991971,0.01159782,-0.01159782,0,,,,,,,,,,0.000000,,,0,21.5000,5.4000,-4.6000,0,650.00,120.00,-120.00,0,0,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,M(6.1+/-0.7) V,2960.00,55.00,-55.00,0,0.171000,0.018000,-0.018000,0,0.139000,0.005000,-0.005000,0,-0.0900,0.1900,-0.1900,0,[Fe/H],5.115000,0.094000,-0.094000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.49270000,0.06400000,-0.06380000,16.9100000,0.2000000,-0.2000000,10.6440000,0.0230000,-0.0230000,15.0715000,0.0013240,-0.0013240,2019-11-01,2019-09,2019-11-07
LP 791-18 c,LP 791-18,TIC 181804752,Gaia DR2 3562427951852172288,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,4.98996300000,0.00005000000,-0.00005000000,0,0.0293920000,0.0009800000,-0.0010500000,0,2.31000000,0.25000000,-0.25000000,0,0.20608440,0.02230351,-0.02230351,0,,,,,,,,,,0.000000,,,0,2.3500,0.5900,-0.5100,0,370.00,30.00,-30.00,0,0,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,M(6.1+/-0.7) V,2960.00,55.00,-55.00,0,0.171000,0.018000,-0.018000,0,0.139000,0.005000,-0.005000,0,-0.0900,0.1900,-0.1900,0,[Fe/H],5.115000,0.094000,-0.094000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.49270000,0.06400000,-0.06380000,16.9100000,0.2000000,-0.2000000,10.6440000,0.0230000,-0.0230000,15.0715000,0.0013240,-0.0013240,2019-11-01,2019-09,2019-11-07
LP 791-18 c,LP 791-18,TIC 181804752,Gaia DR2 3562427951852172288,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,4.98990540000,0.00000260000,-0.00000260000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,M(6.1+/-0.7) V,2960.00,55.00,-55.00,0,0.171000,0.018000,-0.018000,0,0.139000,0.005000,-0.005000,0,-0.0900,0.1900,-0.1900,0,[Fe/H],5.115000,0.094000,-0.094000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.49270000,0.06400000,-0.06380000,16.9100000,0.2000000,-0.2000000,10.6440000,0.0230000,-0.0230000,15.0715000,0.0013240,-0.0013240,2024-03-04,2023-03,2024-03-04
LP 791-18 b,LP 791-18,TIC 181804752,Gaia DR2 3562427951852172288,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,0.94799454358,0.00001389342,-0.00001389342,0,,,,,1.19263921,0.47840133,-0.47840133,0,0.10640033,0.04268018,-0.04268018,0,,,,,,,,,,,,,,20.5198,,,0,542.83,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,2940.00,67.00,-67.00,0,0.171430,0.005189,-0.005189,0,,,,,,,,,,5.143150,0.410207,-0.410207,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.49270000,0.06400000,-0.06380000,16.9100000,0.2000000,-0.2000000,10.6440000,0.0230000,-0.0230000,15.0715000,0.0013240,-0.0013240,2024-01-22,2017-07,2024-01-22
LP 791-18 c,LP 791-18,TIC 181804752,Gaia DR2 3562427951852172288,0,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,4.98991757887,0.00000559993,-0.00000559993,0,,,,,2.98584360,1.24321780,-1.24321780,0,0.26637958,0.11091265,-0.11091265,0,,,,,,,,,,,,,,2.2411,,,0,312.06,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,2940.00,67.00,-67.00,0,0.171430,0.005189,-0.005189,0,,,,,,,,,,5.143150,0.410207,-0.410207,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.49270000,0.06400000,-0.06380000,16.9100000,0.2000000,-0.2000000,10.6440000,0.0230000,-0.0230000,15.0715000,0.0013240,-0.0013240,2024-02-16,2017-07,2024-02-16
LP 791-18 b,LP 791-18,TIC 181804752,Gaia DR2 3562427951852172288,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,0.94799810000,0.00000210000,-0.00000210000,0,0.0097800000,0.0001200000,-0.0001200000,0,1.21200000,0.05900000,-0.05800000,0,0.10812758,0.00526364,-0.00517442,0,,,,,,,,,,,,,,24.1400,0.6100,-0.5700,0,564.30,3.50,-3.40,0,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,M(6.1 +/- 0.7) V,2960.00,55.00,-55.00,0,0.182000,0.007000,-0.007000,0,0.139000,0.005000,-0.005000,0,-0.0900,0.1900,-0.1900,0,[Fe/H],5.115000,0.094000,-0.094000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.49270000,0.06400000,-0.06380000,16.9100000,0.2000000,-0.2000000,10.6440000,0.0230000,-0.0230000,15.0715000,0.0013240,-0.0013240,2023-05-14,2023-05,2023-05-14
LP 791-18 c,LP 791-18,TIC 181804752,Gaia DR2 3562427951852172288,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,4.98990930000,0.00000740000,-0.00000720000,0,0.0296100000,0.0003500000,-0.0003600000,0,2.43800000,0.09600000,-0.09600000,0,0.21750417,0.00856456,-0.00856456,0,7.10000000,0.70000000,-0.70000000,0,0.02233910,0.00220245,-0.00220245,0,Mass,0.000080,0.000040,-0.000040,0,2.6370,0.0660,-0.0620,0,324.40,2.00,-1.90,0,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,M(6.1 +/- 0.7) V,2960.00,55.00,-55.00,0,0.182000,0.007000,-0.007000,0,0.139000,0.005000,-0.005000,0,-0.0900,0.1900,-0.1900,0,[Fe/H],5.115000,0.094000,-0.094000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.49270000,0.06400000,-0.06380000,16.9100000,0.2000000,-0.2000000,10.6440000,0.0230000,-0.0230000,15.0715000,0.0013240,-0.0013240,2023-05-14,2023-05,2023-05-14
LHS 3844 b,LHS 3844,TIC 410153553,Gaia DR2 6385548541499112448,0,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,0.46288440527,0.00001522491,-0.00001522491,0,,,,,1.35432368,0.18157507,-0.18157507,0,0.12082487,0.01619907,-0.01619907,0,,,,,,,,,,,,,,64.7181,,,0,723.40,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,3043.00,63.00,-63.00,0,0.188624,0.005710,-0.005710,0,,,,,,,,,,5.097070,0.426694,-0.426694,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h41m59.09s,340.4962038,-69d10m19.59s,-69.1721081,14.88460000,0.01130000,-0.01130000,15.2400000,0.0320000,-0.0320000,9.1450010,0.0230000,-0.0230000,13.3925000,0.0007380,-0.0007380,2022-08-08,2017-07,2022-08-08
