# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Nov 17 10:16:43 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and disc_facility like '%TESS%'
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and st_teff < 4200
# CONSTRAINT:  and st_rad in [0.1, 0.65])
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN gaia_dr3_id:    Gaia DR3 ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,gaia_dr3_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
LP 890-9 b,LP 890-9,Gaia DR3 4886243456388510720,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,2.72990250000,0.00000340000,-0.00000400000,0,0.0187500000,0.0001000000,-0.0001000000,0,1.32000000,0.05300000,-0.02700000,0,0.11776272,0.00472835,-0.00240878,0,13.20000000,,,1,0.04153184,,,1,Mass,,,,,4.0900,0.1200,-0.1200,0,396.00,3.00,-3.00,0,0,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,M6 V,2850.00,75.00,-75.00,0,0.155600,0.008600,-0.008600,0,0.118000,0.002000,-0.002000,0,-0.0280,0.0890,-0.0890,0,[Fe/H],5.126000,0.050000,-0.047000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h16m31.42s,64.1309096,-28d18m56.85s,-28.3157909,32.42980000,0.07020000,-0.06990000,18.0000000,0.2000000,-0.2000000,11.3440000,0.0230000,-0.0230000,15.8213000,0.0007630,-0.0007630,2022-09-14,2022-09,2022-09-14
LP 791-18 b,LP 791-18,Gaia DR3 3562427951852172288,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,0.94799810000,0.00000210000,-0.00000210000,0,0.0097800000,0.0001200000,-0.0001200000,0,1.21200000,0.05900000,-0.05800000,0,0.10812758,0.00526364,-0.00517442,0,,,,,,,,,,,,,,24.1400,0.6100,-0.5700,0,564.30,3.50,-3.40,0,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,M(6.1 +/- 0.7) V,2960.00,55.00,-55.00,0,0.182000,0.007000,-0.007000,0,0.139000,0.005000,-0.005000,0,-0.0900,0.1900,-0.1900,0,[Fe/H],5.115000,0.094000,-0.094000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.49270000,0.06400000,-0.06380000,16.9100000,0.2000000,-0.2000000,10.6440000,0.0230000,-0.0230000,15.0715000,0.0013240,-0.0013240,2023-05-14,2023-05,2023-05-14
LP 791-18 c,LP 791-18,Gaia DR3 3562427951852172288,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,4.98990930000,0.00000740000,-0.00000720000,0,0.0296100000,0.0003500000,-0.0003600000,0,2.43800000,0.09600000,-0.09600000,0,0.21750417,0.00856456,-0.00856456,0,7.10000000,0.70000000,-0.70000000,0,0.02233910,0.00220245,-0.00220245,0,Mass,0.000080,0.000040,-0.000040,0,2.6370,0.0660,-0.0620,0,324.40,2.00,-1.90,0,0,<a refstr=PETERSON_ET_AL__2023 href=https://www.nature.com/articles/s41586-023-05934-8 target=ref>Peterson et al. 2023</a>,M(6.1 +/- 0.7) V,2960.00,55.00,-55.00,0,0.182000,0.007000,-0.007000,0,0.139000,0.005000,-0.005000,0,-0.0900,0.1900,-0.1900,0,[Fe/H],5.115000,0.094000,-0.094000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,165.6904843,-16d24m23.20s,-16.4064445,26.49270000,0.06400000,-0.06380000,16.9100000,0.2000000,-0.2000000,10.6440000,0.0230000,-0.0230000,15.0715000,0.0013240,-0.0013240,2023-05-14,2023-05,2023-05-14
LHS 3844 b,LHS 3844,Gaia DR3 6385548541499112448,1,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,0.46292913000,0.00000190000,-0.00000190000,0,0.0062200000,0.0001700000,-0.0001700000,0,1.30300000,0.02200000,-0.02200000,0,0.11624587,0.00196271,-0.00196271,0,,,,,,,,,,,,,,70.1000,0.5000,-0.5000,0,805.00,20.00,-20.00,0,0,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,M5,3036.00,77.00,-77.00,0,0.189000,0.006000,-0.006000,0,0.151000,0.014000,-0.014000,0,,,,,,5.060000,0.010000,-0.010000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h41m59.09s,340.4962038,-69d10m19.59s,-69.1721081,14.88460000,0.01130000,-0.01130000,15.2400000,0.0320000,-0.0320000,9.1450010,0.0230000,-0.0230000,13.3925000,0.0007380,-0.0007380,2019-01-22,2019-02,2019-01-24
TOI-540 b,TOI-540,Gaia DR3 4785886941312921344,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MENT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...23M/abstract target=ref>Ment et al. 2021</a>,1.23914910000,0.00000170000,-0.00000170000,0,0.0122300000,0.0003600000,-0.0003600000,0,0.90300000,0.05200000,-0.05200000,0,0.08056026,0.00463913,-0.00463913,0,,,,,,,,,,0.000000,,,0,23.4000,2.1000,-2.1000,0,611.00,23.00,-23.00,0,0,<a refstr=MENT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...23M/abstract target=ref>Ment et al. 2021</a>,M V,3216.00,83.00,-83.00,0,0.189500,0.007900,-0.007900,0,0.159000,0.014000,-0.014000,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h05m14.33s,76.3096949,-47d56m15.14s,-47.9375391,14.00220000,0.00880000,-0.00890000,14.8230000,0.1490000,-0.1490000,8.9000000,0.0210000,-0.0210000,12.8938000,0.0004810,-0.0004810,2020-10-01,2021-01,2020-10-08
TOI-2406 b,TOI-2406,Gaia DR3 2528453161326406016,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,3.07668910000,0.00000240000,-0.00000240000,0,0.0226700000,0.0007100000,-0.0007100000,0,2.86000000,0.06300000,-0.06900000,0,0.25515255,0.00562049,-0.00615578,0,15.60000000,,,1,0.04908309,,,1,Mass,0.170000,0.110000,-0.050000,0,6.6900,0.4100,-0.3600,0,449.00,7.00,-7.00,0,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,,3100.00,31.00,-24.00,0,0.204000,0.004000,-0.004000,0,0.166000,0.004000,-0.004000,0,-0.2600,0.2400,-0.2400,0,[Fe/H],5.041000,0.022000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h35m13.45s,8.8060544,-03d22m19.50s,-3.3720833,55.41900000,0.25360000,-0.25120000,,,,11.8940000,0.0250000,-0.0250000,15.6955000,0.0006410,-0.0006410,2024-06-10,2024-06,2024-06-10
TOI-1680 b,TOI-1680,Gaia DR3 2242756094328104576,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GHACHOUI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230705368G/abstract target=ref>Ghachoui et al. 2023</a>,4.80263450000,0.00000400000,-0.00000390000,0,0.0314400000,0.0002500000,-0.0002600000,0,1.46600000,0.06300000,-0.04900000,0,0.13078799,0.00562049,-0.00437149,0,,,,,,,,,,,,,,4.4100,0.6200,-0.5500,0,404.00,14.00,-14.00,0,0,<a refstr=GHACHOUI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230705368G/abstract target=ref>Ghachoui et al. 2023</a>,M4.5+/-0.5,3225.00,99.00,-100.00,0,0.210600,0.006100,-0.004800,0,0.179800,0.004400,-0.004400,0,0.0400,0.2000,-0.2000,0,[Fe/H],5.046000,0.027000,-0.021000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h29m15.35s,292.3139790,+65d58m25.69s,65.9738018,37.22090000,0.06170000,-0.06140000,15.8700000,0.2000000,-0.2000000,10.8210000,0.0200000,-0.0200000,14.6457000,0.0005370,-0.0005370,2023-07-21,2023-07,2023-07-21
TOI-237 b,TOI-237,Gaia DR3 2329387852426700800,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WAALKES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...13W/abstract target=ref>Waalkes et al. 2021</a>,5.43609800000,0.00003900000,-0.00003900000,0,0.0341000000,0.0010000000,-0.0010000000,0,1.44000000,0.12000000,-0.12000000,0,0.12846820,0.01070568,-0.01070568,0,,,,,,,,,,0.000000,,,0,3.7000,0.5000,-0.5000,0,388.00,,,0,0,<a refstr=WAALKES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...13W/abstract target=ref>Waalkes et al. 2021</a>,M4.5 V,3212.00,100.00,-100.00,0,0.211000,0.006000,-0.006000,0,0.179000,0.004000,-0.004000,0,,,,,,5.040000,0.070000,-0.070000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h32m58.45s,353.2435381,-29d24m59.35s,-29.4164870,38.07490000,0.22920000,-0.22650000,16.3700000,0.2000000,-0.2000000,10.8960000,0.0250000,-0.0250000,14.7540000,0.0008230,-0.0008230,2020-12-10,2021-01,2020-12-17
TOI-6894 b,TOI-6894,Gaia DR3 3917278287286247808,1,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BRYANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250607931B/abstract target=ref>Bryant et al. 2025</a>,3.37077196000,0.00000059000,-0.00000059000,0,0.0260400000,0.0004500000,-0.0004500000,0,9.58367850,0.24659758,-0.24659758,0,0.85500000,0.02200000,-0.02200000,0,53.39517238,6.99222495,-6.99222495,0,0.16800000,0.02200000,-0.02200000,0,Mass,0.029000,0.030000,-0.030000,0,5.5400,0.4400,-0.4400,0,417.90,8.60,-8.60,0,0,<a refstr=BRYANT_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250607931B/abstract target=ref>Bryant et al. 2025</a>,,3007.00,58.00,-58.00,0,0.227600,0.005700,-0.005700,0,0.207000,0.011000,-0.011000,0,0.1420,0.0870,-0.0870,0,[Fe/H],5.039000,0.011000,-0.011000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h33m52.59s,173.4691418,+12d27m03.93s,12.4510906,73.81310000,0.53080000,-0.52340000,,,,12.2070000,0.0210000,-0.0210000,16.3092000,0.0011790,-0.0011790,2025-06-11,2025-06,2025-06-11
TOI-771 b,TOI-771,Gaia DR3 5229384714547758720,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LACEDELLI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250418223L/abstract target=ref>Lacedelli et al. 2025</a>,2.32601550000,0.00000100000,-0.00000090000,0,0.0208000000,0.0009000000,-0.0010000000,0,1.36000000,0.10000000,-0.10000000,0,0.12133128,0.00892142,-0.00892142,0,2.47000000,0.32000000,-0.31000000,0,0.00777149,0.00100683,-0.00097537,0,Mass,0.055000,0.047000,-0.036000,0,14.0000,4.0000,-3.0000,0,543.00,28.00,-34.00,0,0,<a refstr=LACEDELLI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250418223L/abstract target=ref>Lacedelli et al. 2025</a>,M3,3370.00,100.00,-100.00,0,0.232000,0.017000,-0.023000,0,0.220000,0.030000,-0.035000,0,-0.1300,0.0700,-0.0700,0,[Fe/H],4.800000,0.070000,-0.070000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h56m27.33s,164.1138903,-72d59m06.62s,-72.9851736,25.27880000,0.02570000,-0.02570000,14.8880000,0.0800000,-0.0800000,9.6640000,0.0210000,-0.0210000,13.3671000,0.0005910,-0.0005910,2025-05-05,2025-04,2025-05-05
